failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V4,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C1,UAR,10,0.10152000000000001,0.10185,0.001395866915018924,0.1002,0.1026,0.0023999999999999994,0.0997,0.1034,0.10065483272266125,0.10238516727733878
F3,V4,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C2,UAR,10,0.09910999999999999,0.0985,0.0023043196151768747,0.0974,0.1019,0.004500000000000004,0.0957,0.1023,0.09768176790557151,0.10053823209442847
F3,V4,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C0,UAR,10,0.10149999999999999,0.09935,0.005574346000503856,0.0984,0.1043,0.0059000000000000025,0.0943,0.1143,0.0980449845538213,0.10495501544617869
F3,V5,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C1,UAR,10,0.09983,0.09964999999999999,0.0026030110769389094,0.0976,0.1013,0.003699999999999995,0.0969,0.1046,0.09821663701955616,0.10144336298044385
F3,V5,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,C2,RSR,10,0.10179000000000002,0.10164999999999999,0.0029316093418689563,0.0996,0.1028,0.0032000000000000084,0.0976,0.108,0.09997296970489393,0.10360703029510611
F8,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C0,UAR,10,0.09939,0.0985,0.002491964865099204,0.0972,0.1013,0.004100000000000006,0.0969,0.1041,0.09784546417472577,0.10093453582527424
F8,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C1,UAR,10,0.10101,0.10135,0.0034274869316551254,0.0988,0.1029,0.004100000000000006,0.0946,0.1062,0.09888562159051956,0.10313437840948045
F8,V2,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V2,C2,UAR,10,0.09991,0.0988,0.0025800301462493716,0.0985,0.1012,0.002699999999999994,0.0963,0.1055,0.09831088074796711,0.10150911925203289
F8,V2,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V3,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C0,UAR,10,0.10022,0.1001,0.003800526279346061,0.0975,0.1032,0.005699999999999997,0.0953,0.1062,0.09786440940738846,0.10257559059261155
F8,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C1,UAR,10,0.10045,0.10045,0.0022638462845343548,0.0983,0.1017,0.0034000000000000002,0.0969,0.1047,0.09904685353579891,0.10185314646420109
F8,V4,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V4,C2,UAR,10,0.09922,0.09920000000000001,0.002152930818932905,0.0972,0.1013,0.004100000000000006,0.0966,0.1021,0.09788559965361049,0.10055440034638952
F8,V4,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C0,UAR,10,0.09884,0.09805,0.0027661445290431863,0.0968,0.1,0.0032000000000000084,0.0962,0.1054,0.09712552585839791,0.10055447414160208
F8,V5,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C1,UAR,10,0.09988000000000001,0.0993,0.0030911342758138316,0.0981,0.1029,0.004799999999999999,0.0947,0.1049,0.09796409512646259,0.10179590487353743
F8,V5,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,V5,C2,RSR,10,0.09881999999999999,0.09815,0.0033828981657744285,0.0977,0.1011,0.0034000000000000002,0.0933,0.1045,0.09672325799393439,0.1009167420060656
